Business Name	Business Established	Residential 	House No	Building Name	Address	City	Business Type	Local Agent	Telephone No	Telegraphic Address
G. McIntosh			9		Union Wynd	Aberdeen	Aerated water manufacturer		2397	
John Lyall			9		Union Wynd	Aberdeen				
Cothal Mills Bedding Co.			13		Union Wynd	Aberdeen	Flock bedding and wire mattress manufacturers		3359	
"Fowlers (Aberdeen), Ltd."			20-22		Union Wynd	Aberdeen	"Factors for motor and cycle accessories, wireless, sports goods, water- proofs, oilskins, travelling requisites"		2591	"Relwof, Aberdeen"
