Business Name	Business Established	Address	City	Business Type	Telephone Number	OSM_ID	OSM_NOTE
Canada House		201 Union Street	Aberdeen				
Stephen & Smith		201 Union Street	Aberdeen	Advocates			
Geo. Mollison		201 Union Street	Aberdeen				
John D. Munro		201 Union Street	Aberdeen	Advocate			
Lieutenancy of Aberdeenshire Office		201 Union Street	Aberdeen		2581		
"North of Scotland Canadian Mortgage Co., Ltd."		201 Union Street	Aberdeen	Lender	2580		
St. Andrews Ambulance Association		201 Union Street	Aberdeen		7100		
British Red Cross Society		201 Union Street	Aberdeen				
Duncan MacRae		201 Union Street	Aberdeen	Caretaker			
"John Smith & Co. (Wools), Ltd."		203 Union Street	Aberdeen	Knitting wool and needlework specialist	5248		
Union Bank of Scotland Limited (West-End Branch)		207 Union Street	Aberdeen	Bank	879		
Western Assurance Company		207 Union Street	Aberdeen	Insurance			
Rotary Club		207 Union Street	Aberdeen		1883		
J. Downie Campbell		207 Union Street	Aberdeen	Solicitor	1883		
Harry Ogilvie		207 Union Street	Aberdeen				
"James Brown (Aberdeen), Ltd."		209 Union Street	Aberdeen	Fishmongers	4201		
A. Lorimer		211 Union Street	Aberdeen	Dental mechanician			
William A. Leith		211 Union Street	Aberdeen	Coal merchant			
"J. Ogilvie Munro, jun."		211 Union Street	Aberdeen				
James S. Innes		213 Union Street	Aberdeen	Spirit dealer			
J. S. Duthie		215 Union Street	Aberdeen	Fruit merchant			
R. W. Johnston		217 Union Street	Aberdeen	Estate agent			
Davidson & Kay		219 Union Street	Aberdeen	Chemists			
"Watt & Grant, Ltd."		221 to 227 Union Street	Aberdeen	Silk mercers			
A. & R. Milne		229 Union Street	Aberdeen	Booksellers			
"J. B. Rennet, advocate, and C. A. Samule Pope, solicitor"		231A Union Street	Aberdeen	Advocate and solicitor	824		
John H. Drummond		231A Union Street	Aberdeen				
City of Glasgow Friendly and Approved Society		231A Union Street	Aberdeen				
Charles A. Michie		231 Union Street	Aberdeen	Chemist			
A. H. L. Mackinnon		245 Union Street	Aberdeen	Architect			
A. J. Morrison		245 Union Street	Aberdeen	Architect			
"Bower & Smith, C. A."		245 Union Street	Aberdeen				
Mrs. Smith		245 Union Street	Aberdeen	Appartments			
Mrs. Clara Willis		245 Union Street	Aberdeen				
D. Wyllie & Son		247 Union Street	Aberdeen	Booksellers			
