Business Name	Business Established	Residential	Building Name 	House Number	Address	City	Business Type	Local Agent	Phone Number	Telegraph Address
A. Leslie Hay				82	Crown Street	Aberdeen	Advocate			
David Logie L.D.S				86_	Crown Street	Aberdeen				
John S. Rowand LTD				92	Crown Street	Aberdeen	Motor Car Hirer			
Societyof Friends' Meeting House				98	Crown Street	Aberdeen				
Mrs Duncan Cameron 		Mrs Duncan Cameron		102	Crown Street	Aberdeen				
Windor Hotel				104	Crown Street	Aberdeen	Hotel	Mrs Birss		
Aberdeen Town and County Association for Teaching the Blind at Their Home				112	Crown Street	Aberdeen				
W. R. Trail				116	Crown Street	Aberdeen				
The Strathclyde Paint Co LTD				116	Crown Street	Aberdeen				
William Wilson				116	Crown Street	Aberdeen	Hairdresser			
George Cay				120	Crown Street	Aberdeen	Grocer			
		Mrs Petrie		122	Crown Street	Aberdeen				
John Addison				124	Crown Street	Aberdeen	Butcher			
F.S Gordon				126	Crown Street	Aberdeen	Draper			
		George Fettes		128	Crown Street	Aberdeen				
C.Callum				144	Crown Street	Aberdeen	Fruiterer and Confectioner			
Wm. Mitchell				154	Crown Street	Aberdeen	Dentist			
		George Norrie		156	Crown Street	Aberdeen				
Aberdeen Refridgeration Co				158	Crown Street	Aberdeen				
		John Currie		158a	Crown Street	Aberdeen				
David Ross				166	Crown Street	Aberdeen	Painter			
		James Nicol		168	Crown Street	Aberdeen				
		Fred. Boyne Jun		170	Crown Street	Aberdeen				
Miss N. Robertson				174	Crown Street	Aberdeen	Apartments			
		Alex Ewerdine		176	Crown Street	Aberdeen				
		William Doulas		178	Crown Street	Aberdeen				
C. and W. Duncan				182	Crown Street	Aberdeen	Grocers			
