Business Name	Business Established	Residential	Building Name 	House Number	Address	City	Business Type	Local Agent	Phone Number	Telegraph Address																			
Road Transport and General Insurance Co.LTD				148	Union Street	Aberdeen	Insurance																						
Motor Credit Services LTD				148	Union Street	Aberdeen																							
Pat Grant				150-150_	Union Street	Aberdeen	Hairdresser																						
The Liverpool and London and Globe Insurance Co LTD				150	Union Street 	Aberdeen																							
The Central Insurance Co.LTD				150	Union Street	Aberdeen																							
Royal Exchange Assurance				150	Union Street	Aberdeen																							
"Royal Bank Buildings ,Royal Bank of Scotland"				152	Union Street	Aberdeen	bank	Thomas M Rankin																					
Cochran and MacPherson				152	Union Street	Aberdeen	Advocate																						
F. J Cochran				152	Union Street	Aberdeen																							
N.J.J.Walker  				152	Union Street	Aberdeen	Advocate																						
David G. Cochran				152	Union Street	Aberdeen																							
R.B.Findlayson				152	Union Street	Aberdeen																							
									Local Agent	Telegraphic Address																			
Athenaeum Hotel & Restaurant 				7	 Union St	Aberdeen	Hotel																						
"Findlay & Co., Ltd."				17	 Union St	Aberdeen	Tobacconists																						
Mrs Gordon				19	 Union St	Aberdeen	Boarding house																						
Miss Marion Hay				19	 Union St	Aberdeen	Servants' register and house agent																						
George Alexander				19	 Union St	Aberdeen	"Solicitor, notary public and Justice of Peace Procurator-Fiscal of Aberdeenshire"		777																				
Aberdeen Highland Association; 				19	 Union St	Aberdeen	Agriculture	"hon. secy. and treas., William Watt"																					
Aberdeen Mutual Assurance and Friendly Society				19	 Union St	Aberdeen	Insurance	"secretary, George Alexander"																					
J. F. Gillan				19	 Union St	Aberdeen	Advocate		777																				
Dundee Equitable Boot Depot				21	Union St (Shiprow)	Aberdeen	Retail	manager Daniel McCowan																					
Ross and Ledingham				23	 Union St	Aberdeen	Drapers																						
"Mitchell and Muil, Ltd."				25-25a	 Union St	Aberdeen	"Bakers, luncheon & tea rooms"																						
Press Photos; Cecil Skene				29	Union St	Aberdeen	Press and commercial photographer	Cecil Skene																					
"Maypole Dairy Co., Ltd"				31	 Union St	Aberdeen	Agriculture	"manager, George Mutch"																					
G. H. Swapp				33	 Union St	Aberdeen	Optician		999																				
"G. S. Esson, M.A"				35a	 Union St	Aberdeen	Solicitor		2381																				
"George Anderson, C.A."				35a	 Union St	Aberdeen	Chartered accountant		2684																				
Alexander Cruden				35a	Union St	Aberdeen	Accountant																						
Mackay Bros. & Co. (Aberdeen) Ltd.				35a	Union St	Aberdeen	"Passenger shipping, railway and tourist agents"																						
Norman C Howarth				35a	Union St	Aberdeen	Dentist																						
"Paul Bros., Ltd"				35a	Union St	Aberdeen	Flourmills	" Richard Wilson, agent"																					
"Price's Patent Candle Co., Ltd"				35a	Union St	Aberdeen	Candle makers																						
"Appleton, Machin & Smiles, Ltd."				35a	Union St	Aberdeen	Tea and coffee merchant		6833																				
"H. P. Tyler, Ltd."				37	Union St	Aberdeen	Boot and shoe warehouse																						
British Vacuum Cleaner Co.			Crown Mansions	41_	Union St	Aberdeen	Vacuum cleaners																						
Ross & Company			Crown Mansions	41_	Union St	Aberdeen	Typewriter and duplicator supplies manufacturers																						
H. J. Gray & Connachie			Crown Mansions	41_	Union St	Aberdeen	Advocates		1237																				
W. Dixon Connochie			Crown Mansions	41_	Union St	Aberdeen	Solicitor																						
"Gavin Sinclair, J.P."			Crown Mansions	41_	Union St	Aberdeen	Advocates																						
George Forbes			Crown Mansions	41_	Union St	Aberdeen	Solicitor																						
John Lints			Crown Mansions	41_	Union St	Aberdeen	Solicitor																						
George Gordon			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent		4227																				
Dan Flynn			Crown Mansions	41_	Union St	Aberdeen	Commission agent		7301 & 7302	"""Hockey, Aberdeen"""																			
W. T. C. Penman			Crown Mansions	41_	Union St	Aberdeen	Wholesale millinery																						
Sun Ray Ladies Hairdressing Salon			Crown Mansions	41_	Union St	Aberdeen	Hairdressing		4664																				
Aberdeen Knitwear Co.			Crown Mansions	41_	Union St	Aberdeen																							
"C. & C. House Purchase Co., Ltd. (Glasgow)"	1902		Crown Mansions	41_	Union St	Aberdeen	Building society 																						
"Alex. Bell & Co., "			Crown Mansions	41_	Union St	Aberdeen	Tea merchants																						
Robert Leith			Crown Mansions	41_	Union St	Aberdeen	Manufacturers agent		3206																				
James Morrice & Son 			Crown Mansions	41_	Union St	Aberdeen	Warehousemen																						
"Rowntree & Co., Ltd"	1862		Crown Mansions	41_	Union St	Aberdeen	Confectionery	" J. Blyth, representative"																					
"J. F. Tocher, D.Sc, LL.D., F. I. C"			Crown Mansions	41_	Union St	Aberdeen	"Public analyst, University lecturer, analyst to Highland and Agricultural Society of Scotland"		2729																				
Wm. Jas. Williamson 			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent																						
John Corrigall			Crown Mansions	41_	Union St	Aberdeen	Com. trav.																						
Wm. Pirie			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent																						
"The Provident Clothing and Supply Co., Ltd"			Crown Mansions	41_	Union St	Aberdeen		" R. Allardyce, manager"																					
"J. S. Fry & Sons, Ltd"			Crown Mansions	41_	Union St	Aberdeen	Chocolate manufacturers	"S. A. Williams, agent"																					
"Abercar, Ltd."			Crown Mansions	41_	Union St	Aberdeen	Carbide manufrs.																						
Electrolux Ltd.			Crown Mansions	41_	Union St	Aberdeen	Appliance manufacturer																						
A. R. Wannop			Crown Mansions	41_	Union St	Aberdeen	"Director of county work, College of Agriculture"																						
Porter & Cushnie			Crown Mansions	41_	Union St	Aberdeen	Com. agents																						
Old Age Pensions			Crown Mansions	41_	Union St	Aberdeen		"Clerk, Alex. M. Craig"																					
Aberdeen Burgh Insurance Committee			Crown Mansions	41_	Union St	Aberdeen		"Clerk, Alex. M. Craig"																					
George S. Anderson & Co.			Crown Mansions	41_	Union St	Aberdeen	Warehousemen																						
Mrs. Alex. Gordon Horne			Crown Mansions	41_	Union St	Aberdeen	Com. agent																						
John N. Clark			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent																						
"Barlow & Jones, Ltd."			Crown Mansions	41_	Union St	Aberdeen	Cotton spinners and manufacturers																						
North of Scotland College of Agriculture			Crown Mansions	41_	Union St	Aberdeen		Secretary R. N. Lemmon	1046	"Nosca, Aberdeen"																			
Craibstone School of Rural Domestic Economy			Crown Mansions	41_	Union St	Aberdeen																							
W. A. Watson			Crown Mansions	41_	Union St	Aberdeen	Manufacturers' agent																						
"A. A. Prosser, secretary of the North of Scotland College of Agriculture"			Crown Mansions	41_	Union St	Aberdeen																							
Craibstone Agricultural & Horticultural Experimental Areas in Forestry Department			Crown Mansions	41_	Union St	Aberdeen		Superintendent F. K. Boyd	1046	"Nosca, Aberdeen"																			
"John M. Aiken, R.S.A., A.R.E."			Crown Mansions	41_	Union St	Aberdeen	Artist																						
Thomas Rennie			Crown Mansions	41_	Union St	Aberdeen	Chartered accountant		4511																				
"Ellams Duplicator Co., Ltd."			Crown Mansions	41_	Union St	Aberdeen	Duplicator																						
"John C. Scott (T. H. Downing and Co., Ltd., Leicester)"			Crown Mansions	41_	Union St	Aberdeen	Commercial traveller 																						
"Albert D. Imper, BSc., Phd. N.D.A."			Crown Mansions	41_	Union St	Aberdeen	Agricultural economist		1046																				
"Jas. D. McCombie, B.L."			Crown Mansions	41_	Union St	Aberdeen	Solicitor		1237																				
George Shaw			Crown Mansions	41_	Union St	Aberdeen	Commission agent																						
"Colonial Mutual Life Assurance Society, Ltd"			Crown Mansions	41_	Union St	Aberdeen		Resident secretary J. R. Wallace	4450																				
J. F. Campbell & Co.				43	Union St	Aberdeen	House furnishers																						
Stead & Simpson Ltd				49	Union St	Aberdeen	Boot and shoe makers																						
Style & Mantle	1934			51	Union St	Aberdeen	"Costumiers, gowns and mantles"		839																				
"Swears & Wells, Ltd."				53	Union St	Aberdeen	Furriers		6175																				
"H. Samuel, Ltd"				55	Union St	Aberdeen	Watchmakers and jewellers		6229																				
"John Falconer & Co., Ltd."			The Royal Arcade Warehouse	65	Union St	Aberdeen	Draper																						
"National Bank of Scotland, Limited (Chief Office)"				67	Union St	Aberdeen		"Agent, William McNab"	2382																				
Corporation Gas Showrooms				20	Union St	Aberdeen		"Superintendent, D. Parkinson"																					
Public Library and Reading Room (East Branch)				22	Union St	Aberdeen		"librarian in charge, Miss Clark"																					
C. O. U. Oddfellows' F. S. 				22	Union St	Aberdeen																							
"Singer Sewing Machine Co., Ltd."				24	Union St	Aberdeen																							
Esslemont & Macintosh 				26-38	Union St	Aberdeen																							
"""Roselle"", ladies' and children's outfitter (M. J. McKay)"				520	Union St	Aberdeen	Ladies' and children's outfitter	M. J. McKay	3582																				
"Frederick I. Hyams, of Hyams Bros."				518	Union St	Aberdeen	Furrier		5680																				
"""Metcalfe"""				516	Union St	Aberdeen	Confectioner																						
West-End Hosiery Shop; proprietrix Madame Entrop				514	Union St	Aberdeen		 Proprietrix Madame Entrop																					
G. L. MacKeggie				512	Union St	Aberdeen	"Printer, stationer and newsagent"																						
Mary E. J. Mackie				510	Union St	Aberdeen	Milliner																						
"Pegler & Co., Ltd."				504-508	Union St	Aberdeen	Fruiterers (to His Majesty the King)		6768																				
Arthur W. MacMahon				502	Union St	Aberdeen	Portrait and commercial photographer		187																				
		Misses Gray		498	Union St	Aberdeen																							
"Mitchell & Muil, Ltd"				496	Union St	Aberdeen	Luncheon and tearooms																						
A. & W. Alexander				492	Union St	Aberdeen	"Fishmongers, butchers and game dealers"																						
The British Linen Bank (West-End branch)				484	Union St	Aberdeen		"Agent, C.S. Asher"	16																				
A. & J. Macnab				482	Union St	Aberdeen	Dyers and cleaners		2179																				
McHattie & Lumsden				480	Union St	Aberdeen	Solicitors		1071																				
National Provident Institution				480	Union St	Aberdeen		"James C. V. Cruickshank, assistant district manager"																					
"Miss Frances Robertson, M.B.S"				480	Union St	Aberdeen	Physical instructress																						
"""The Divan"": W. Dawson"				478	Union St	Aberdeen	Tobacconist		3550																				
W. F. Hay				476	Union St	Aberdeen	Chemist		1784																				
"J. M. Chrystie, F.R.F.P.S. (Glas.), L.R.C.P. & S.(Edin.), L.D.S., R.F.P.S.(Glas.)"				472a	Union St	Aberdeen	Dental Surgeon		611																				
"E. M. Chrystie, L.D.S., R.F.P.S. (Glas.)"				472a	Union St	Aberdeen	Dental Surgeon																						
"David Beck, Dispensing Opticians Ltd."				472	Union St	Aberdeen	Optician																						
"John Ledingham & Son, Ltd."				470	Union St	Aberdeen	Bakers and biscuit manufacturers		2544																				
"Bruce Mackenzie, Ltd."				468	Union St	Aberdeen	"Painters, decorators and glaziers"		2176																				
T. Watson				466	Union St	Aberdeen	"Tobacconist, fancy goods, sports dealer and practical cutler (kiosk)"		2660																				
West-End Fancy Goods Store				464	Union St	Aberdeen	Stationery and newsagent																						
Arch. McKellar				456	Union St	Aberdeen	"Family grocer, wine and spirit merchant"		1891																				
McGregor McLean				452	Union St	Aberdeen	Dental surgeon		2130																				
"""Bowman"""				450	Union St	Aberdeen	Tobacconist																						
Dugan & Mitchell				448	Union St	Aberdeen	"Practical tailors, hatters and outfitters"		94																				
John Raffan				446	Union St	Aberdeen	Boot and shoe warehouse		217																				
Peter Shand				446	Union St	Aberdeen	Chiropodist		217																				
Hyams Bros.				442	Union St	Aberdeen	Expert manufacturing furriers		3363																				
