Business Name	Business Established	Residential 	House No	Building Name	Address	City	Business Type	Local Agent	Telephone No	Telegraphic Address																
David M. Franklin			1		Huntly St	Aberdeen	Furrier		3341	"Beaver, Aberdeen"																
Shaw & Morison			13Ð15		Huntly St	Aberdeen																				
Henry S. Tait			21		Huntly St	Aberdeen	Dental surgery		449																	
G. M. Tait			25		Huntly St	Aberdeen	Carpetmaker and upholsterer		351																	
Alex Milne			33		Huntly St	Aberdeen	Catholic repository																			
		G. M. Tait	43		Huntly St	Aberdeen																				
Associated War Comrades			47	Albert Hall	Huntly St	Aberdeen																				
"Aberdeen Motors, Ltd."			49		Huntly St	Aberdeen	Repair works		"4580, 4581, 4582"	"Cars, Aberdeen"																
Raleigh Service Depot			51		Huntly St	Aberdeen	"Distributors, Raleigh cycles, motor cycles, vans, and spares"		3591	"Relwof, Aberdeen"																
James Hunter			55		Huntly St	Aberdeen	Grocer																			
		Mrs. Hunter	55		Huntly St	Aberdeen																				
Alexander Milne			57		Huntly St	Aberdeen																				
Wm. Hunter			63		Huntly St	Aberdeen	Grocer and wine merchant		864																	
Forbes Stuart			73		Huntly St	Aberdeen	Grocer																			
Geo. R. Donaldson			75		Huntly St	Aberdeen	Butcher		5691																	
Alex. Taylor			81		Huntly St	Aberdeen	Cabinetmaker		5728																	
Albert J. Leith			89		Huntly St	Aberdeen	"Grocer, tea, wine and spirit merchant"		328																	
L. & A. Clarke			107		Huntly St	Aberdeen	Dairy and provisions																			
John McIntosh			12		Huntly St	Aberdeen	Florist and jobbing gardner		5278																	
St Andrew's Catholic Association			16		Huntly St	Aberdeen																				
Aberdeen Diocesan Catholic Insurance Society			16		Huntly St	Aberdeen																				
Cathedral House			20	Cathedral House	Huntly St	Aberdeen																				
Asylum for the Blind	1843		30 & 50		Huntly St	Aberdeen	"Bedding, brushes, baskets"		616																	
James Balfour			50		Huntly St	Aberdeen	Manager																			
"Rossleigh, Ltd."			58		Huntly St	Aberdeen	Workshops		"4785, 4786"																	
John Stevenson			62		Huntly St	Aberdeen	Fishmonger																			
A. Kelman			64		Huntly St	Aberdeen	Flesher																			
"Thomson & Brown Bros., Ltd."			74		Huntly St	Aberdeen	"Factors and manufacturers of motor, cycle, and wireless accessories (wholesale only)"		3324	"Accessory, Aberdeen"																
David T. Rennie			76		Huntly St	Aberdeen	Tailor		1859																	
"N. Co-op. Socy., Ltd."			80-82		Huntly St	Aberdeen	Grocers																			
"N. Co-op. Socy., Ltd."			84		Huntly St	Aberdeen	Bakers																			
"N. Co-op. Socy., Ltd."			88		Huntly St	Aberdeen	Butchers																			
John H. Webster			90		Huntly St	Aberdeen																				
W. & A. Hay			96		Huntly St	Aberdeen	Cabinetmakers		6981																	
James Leslie & Son			118		Huntly St	Aberdeen	Slaters		1442																	
		Alex. Milne	120		Huntly St	Aberdeen	"Manager, Ellicock's"																			
Ellicock			122		Huntly St	Aberdeen	Cabinetmakers and upholsterers																			
George Duncan			126		Huntly St	Aberdeen	Tailor																			
		Charles Mitchell	132		Huntly St	Aberdeen																				
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
